NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME,,,,,,,,,,,,,
01-Jul-15,University of TX-Pan American-S. Padre Island,Cameron,Cameron County WDA,345,31-Aug-15,01-Jul-15,S Padre Island,,,,,,,,,,,,,
01-Jul-15,University of TX-Pan American-Rio Grande City,Starr,South Texas WDA,345,31-Aug-15,01-Jul-15,Rio Grande City,,,,,,,,,,,,,
01-Jul-15,University of TX-Pan American-McAllen,Hidalgo,Lower Rio Grande Valley WDA,345,31-Aug-15,01-Jul-15,McAllen,,,,,,,,,,,,,
30-Jun-15,Xerox Commercial Solutions - Wichita Falls,Wichita,North Texas WDA,257,28-Aug-15,30-Jun-15,Wichita Falls,,,,,,,,,,,,,
30-Jun-15,Christus Health Southeast TX,Jefferson,South East Texas WDA,162,01-Sep-15,30-Jun-15,Port Arthur,,,,,,,,,,,,,
29-Jun-15,University of Texas at Brownsville (UTB),Cameron,Cameron County WDA,1141,31-Aug-15,29-Jun-15,Brownsville,,,,,,,,,,,,,
26-Jun-15,"Marvell Semiconductor, Inc.-Austin Design Center",Travis,Capital Area WDA,52,25-Aug-15,26-Jun-15,Austin,,,,,,,,,,,,,
24-Jun-15,Avnet,Dallas,Dallas County WDA,68,24-Aug-15,24-Jun-15,Coppell,,,,,,,,,,,,,
24-Jun-15,Boeing Company,Harris,Gulf Coast WDA,3,21-Aug-15,24-Jun-15,Houston,,,,,,,,,,,,,
19-Jun-15,Sears Holdings Unit 2507 &  6644,Hidalgo,Lower Rio Grande Valley WDA,132,01-Nov-15,19-Jun-15,McAllen,,,,,,,,,,,,,
16-Jun-15,APM Terminals,Harris,Gulf Coast WDA,109,24-Jul-15,16-Jun-15,La Porte,,,,,,,,,,,,,
15-Jun-15,Containment Solutions Inc.,Montgomery,Gulf Coast WDA,62,01-Sep-15,15-Jun-15,Conroe,,,,,,,,,,,,,
10-Jun-15,CDI HS-Woodsboro,Refugio,Coastal Bend WDA,8,31-Jul-15,10-Jun-15,Woodsboro,,,,,,,,,,,,,
10-Jun-15,CDI HS-Skidmore,Bee,Coastal Bend WDA,8,31-Jul-15,10-Jun-15,Skidmore,,,,,,,,,,,,,
10-Jun-15,CDI HS-Beeville2,Bee,Gulf Coast WDA,8,31-Jul-15,10-Jun-15,Beeville,,,,,,,,,,,,,
10-Jun-15,CDI HS-Refugio,Refugio,Coastal Bend WDA,8,31-Jul-15,10-Jun-15,Refugio,,,,,,,,,,,,,
10-Jun-15,CDI HS-George West,Live Oak,Coastal Bend WDA,8,31-Jul-15,10-Jun-15,George West,,,,,,,,,,,,,
10-Jun-15,CDI HS-Goliad,Goliad,Golden Crescent WDA,9,31-Jul-15,10-Jun-15,Goliad,,,,,,,,,,,,,
10-Jun-15,CDI HS-Beeville,Bee,Gulf Coast WDA,9,31-Jul-15,10-Jun-15,Beeville,,,,,,,,,,,,,
04-Jun-15,Goldstar Transit,Travis,Capital Area WDA,69,31-Jul-15,04-Jun-15,Manor,,,,,,,,,,,,,
03-Jun-15,PM Realty Group LP (PMRG)-Smith,Harris,Dallas County WDA,21,31-Jul-15,03-Jun-15,Houston,,,,,,,,,,,,,
03-Jun-15,PM Realty Group LP (PMRG) Smith St,Harris,Gulf Coast WDA,5,31-Jul-15,03-Jun-15,Houston,,,,,,,,,,,,,
03-Jun-15,PM Realty Group LP (PMRG),Harris,Gulf Coast WDA,26,31-Jul-15,03-Jun-15,Houston,,,,,,,,,,,,,
02-Jun-15,Speedy Stop Food Stores,Victoria,Golden Crescent WDA,84,31-Jul-15,02-Jun-15,Victoria,,,,,,,,,,,,,
01-Jun-15,Aramark-Allen,Collin,North Central Texas WDA,114,30-Jun-15,01-Jun-15,Allen,,,,,,,,,,,,,
01-Jun-15,Horizon Lines Inc.,Dallas,Dallas County WDA,114,31-Jul-15,01-Jun-15,Irving,,,,,,,,,,,,,
27-May-15,"Shamrock Precision Operations, LLC",Harris,Gulf Coast WDA,41,31-May-15,27-May-15,Houston,,,,,,,,,,,,,
27-May-15,"Magnum Precision Operations, LLC",Harris,Gulf Coast WDA,83,31-May-15,27-May-15,Houston,,,,,,,,,,,,,
27-May-15,"Axion Services, LLC",Harris,Gulf Coast WDA,14,31-May-15,27-May-15,Houston,,,,,,,,,,,,,
27-May-15,Ocwen Financial Corp.-Litton Loan Servicing (LLS) LP,Harris,Gulf Coast WDA,141,31-Jul-15,27-May-15,Houston,,,,,,,,,,,,,
27-May-15,ThermoFisher Scientific-Sugarland,Fort Bend,Gulf Coast WDA,52,31-May-15,27-May-15,Sugar Land,,,,,,,,,,,,,
27-May-15,Boeing Company,Harris,Gulf Coast WDA,8,24-Jul-15,27-May-15,Houston,,,,,,,,,,,,,
26-May-15,Hodges Trucking,Johnson,North Central Texas WDA,67,25-Jul-15,26-May-15,Alvarado,,,,,,,,,,,,,
26-May-15,GDC Technics,Bexar,Alamo WDA,162,31-Jul-15,26-May-15,San Antonio,,,,,,,,,,,,,
18-May-15,Gulf Marine Fabricators - Aransas Pass,San Patricio,Coastal Bend WDA,554,20-Jul-15,18-May-15,Aransas Pass,,,,,,,,,,,,,
18-May-15,"Blue Bell Creameries, L.P.",Washington,Brazos Valley WDA,341,29-May-15,18-May-15,Brenham,,,,,,,,,,,,,
15-May-15,Albertsons #2587,Tarrant,Tarrant County WDA,45,20-Jun-15,15-May-15,Arlington,,,,,,,,,,,,,
15-May-15,Ryder-Haltom City,Tarrant,Tarrant County WDA,95,15-May-15,15-May-15,Haltom City,,,,,,,,,,,,,
15-May-15,Access Mediquip,Harris,Gulf Coast WDA,40,01-May-15,15-May-15,Houston,,,,,,,,,,,,,
14-May-15,"TIC Energy & Chemical, Inc-(TEC) -Freeport",Brazoria,Gulf Coast WDA,500,31-May-15,14-May-15,Freeport,,,,,,,,,,,,,
13-May-15,"Danbury Aerospace, Inc. (DAI)",Bexar,Alamo WDA,106,06-Jul-15,13-May-15,San Antonio,,,,,,,,,,,,,
12-May-15,Select Medical Corp.,Harris,Gulf Coast WDA,222,03-Jul-15,12-May-15,Houston,,,,,,,,,,,,,
07-May-15,"Capital One Services, Inc.",Dallas,Dallas County WDA,299,04-Jul-15,07-May-15,Irving,,,,,,,,,,,,,
05-May-15,Child Care Associates,Tarrant,Tarrant County WDA,75,04-Jul-15,05-May-15,Ft. Worth,,,,,,,,,,,,,
05-May-15,HOWCO,Dewitt,Golden Crescent WDA,32,28-Apr-15,05-May-15,Yorktown,,,,,,,,,,,,,
04-May-15,Valmont Brenham,Washington,Brazos Valley WDA,173,04-Jul-15,04-May-15,Brenham,,,,,,,,,,,,,
01-May-15,Whole Foods Market-Houston,Harris,Gulf Coast WDA,100,03-Jul-15,01-May-15,Houston,,,,,,,,,,,,,
01-May-15,Celebrating Home,Harrison,East Texas WDA,80,31-Jul-15,01-May-15,Marshall,,,,,,,,,,,,,
01-May-15,Austin American Statesman,Travis,Capital Area WDA,103,13-Jul-15,01-May-15,Austin,,,,,,,,,,,,,
29-Apr-15,Aramark-Texarkana,Bowie,North East Texas WDA,105,30-Jun-15,29-Apr-15,Texarkana,,,,,,,,,,,,,
29-Apr-15,Aramark-Atlanta,Cass,North East Texas WDA,5,30-Jun-15,29-Apr-15,Atlanta,,,,,,,,,,,,,
28-Apr-15,Bell Helicopter-S Norwood,Tarrant,Tarrant County WDA,538,03-Jul-15,28-Apr-15,Hurst,,,,,,,,,,,,,
28-Apr-15,Bell Helicopter-Bell Helicopter Blvd.,Tarrant,Tarrant County WDA,35,03-Jul-15,28-Apr-15,Ft. Worth,,,,,,,,,,,,,
28-Apr-15,Bell Helicopter-High River Rd.,Tarrant,Tarrant County WDA,35,03-Jul-15,28-Apr-15,Ft. Worth,,,,,,,,,,,,,
28-Apr-15,Bell Helicopter-Arlington,Tarrant,Tarrant County WDA,35,03-Jul-15,28-Apr-15,Arlington,,,,,,,,,,,,,
28-Apr-15,Bell Helicopter-Aviator Way,Tarrant,Tarrant County WDA,35,03-Jul-15,28-Apr-15,Ft. Worth,,,,,,,,,,,,,
28-Apr-15,Bell Helicopter-Highway 360,Tarrant,Tarrant County WDA,35,03-Jul-15,28-Apr-15,Grand Prairie,,,,,,,,,,,,,
27-Apr-15,CB&I Stone & Webster,Somervell,North Central Texas WDA,322,31-May-15,27-Apr-15,Glen Rose,,,,,,,,,,,,,
23-Apr-15,Baker Hughes-Alice2,Jim Wells,Coastal Bend WDA,27,23-Apr-15,23-Apr-15,Alice,,,,,,,,,,,,,
23-Apr-15,"Breg, Inc.",Tarrant,Tarrant County WDA,133,14-Aug-15,23-Apr-15,Grand Prairie,,,,,,,,,,,,,
23-Apr-15,Hudson Group,Harris,Gulf Coast WDA,79,22-Jun-15,23-Apr-15,Houston,,,,,,,,,,,,,
22-Apr-15,Express Scripts-N. Riverside,Tarrant,Tarrant County WDA,227,21-Jun-15,22-Apr-15,Ft. Worth,,,,,,,,,,,,,
22-Apr-15,Express Scripts-N. Riverside,Tarrant,Tarrant County WDA,227,21-Jun-15,22-Apr-15,Ft. Worth,,,,,,,,,,,,,
22-Apr-15,Halliburton-Interwood,Harris,Gulf Coast WDA,134,20-Apr-15,22-Apr-15,Houston,,,,,,,,,,,,,
22-Apr-15,Delaware N Co. Travel Hosp. Svcs. Inc.-Houston,Harris,Gulf Coast WDA,333,30-Jun-15,22-Apr-15,Houston,,,,,,,,,,,,,
21-Apr-15,Halliburton-Ft. Stockton,Pecos,Permian Basin WDA,93,20-Apr-15,21-Apr-15,Fort Stockton,,,,,,,,,,,,,
21-Apr-15,Halliburton-Brownfield,Terry,South Plains WDA,99,20-Apr-15,21-Apr-15,Brownfield,,,,,,,,,,,,,
21-Apr-15,Boeing Company,Harris,Gulf Coast WDA,1,19-Jun-15,21-Apr-15,Houston,,,,,,,,,,,,,
20-Apr-15,Maxum Petroleum Operating Company dba Pilot Thomas Logistics,Nueces,Coastal Bend WDA,60,22-Jun-15,20-Apr-15,Robstown,,,,,,,,,,,,,
4/17/15,"US Steel Oilwell Services, LLC",Harris,Gulf Coast WDA,200,17-Jun-15,17-Apr-15,Houston,,,,,,,,,,,,,
4/15/15,Walmart-Midland,Midland,Permian Basin WDA,456,13-Apr-15,15-Apr-15,Midland,,,,,,,,,,,,,
4/14/15,Walmart - Livingston,Polk,Deep East Texas WDA,420,13-Apr-15,14-Apr-15,Livingston,,,,,,,,,,,,,
4/14/15,Office Max - Garland,Dallas,Dallas County WDA,72,12-Jun-15,14-Apr-15,Garland,,,,,,,,,,,,,
4/9/15,Android Industires-East Randoll Mill,Tarrant,Tarrant County WDA,40,13-Jun-15,09-Apr-15,Arlington,,,,,,,,,,,,,
4/9/15,Eisai Inc.,Dallas,Dallas County WDA,51,09-Jun-15,09-Apr-15,Irving,,,,,,,,,,,,,
4/9/15,Android Industries-Pioneer Pkwy,Tarrant,Tarrant County WDA,49,13-Jun-15,09-Apr-15,Arlington,,,,,,,,,,,,,
4/9/15,Android Industries-E Pioneer Pkwy,Tarrant,Tarrant County WDA,100,13-Jun-15,09-Apr-15,Arlington,,,,,,,,,,,,,
4/9/15,Android Industries,Tarrant,Tarrant County WDA,400,13-Jun-15,09-Apr-15,Arlington,,,,,,,,,,,,,
4/8/15,FTS International,Brazos,Brazos Valley WDA,194,08-Apr-15,08-Apr-15,Bryan,,,,,,,,,,,,,
4/8/15,Durham School Services-Lewisville,Denton,North Central Texas WDA,358,08-Jun-15,08-Apr-15,Lewisville,,,,,,,,,,,,,
4/8/15,Durham School Services-Burleson,Johnson,North Central Texas WDA,124,08-Jun-15,08-Apr-15,Burleson,,,,,,,,,,,,,
4/7/15,"Lufkin Industries, (GE Oil & Gas)",Angelina,Deep East Texas WDA,149,26-Mar-15,07-Apr-15,Lufkin,,,,,,,,,,,,,
3/30/15,"Seadrill Americas, Inc.",Harris,Gulf Coast WDA,159,4/1/15,30-Mar-15,Houston,,,,,,,,,,,,,
3/27/15,AF Global Corporation,Harris,Gulf Coast WDA,89,5/18/15,27-Mar-15,Houston,,,,,,,,,,,,,
3/26/15,LabCorp-Dallas,Dallas,Dallas County WDA,56,9/25/15,26-Mar-15,Dallas,,,,,,,,,,,,,
3/24/15,East Texas Medical Center-Crockett,Houston,Deep East Texas WDA,120,5/31/15,24-Mar-15,Crockett,,,,,,,,,,,,,
3/24/15,Tenaris dba Texas ARAI-Maverick Tube Corp.,Fort Bend,Gulf Coast WDA,133,5/23/15,24-Mar-15,Houston,,,,,,,,,,,,,
3/23/15,Halliburton Energy Services-Alice,Jim Wells,Coastal Bend WDA,60,3/19/15,23-Mar-15,Alice,,,,,,,,,,,,,
3/23/15,Boeing Company,Harris,Gulf Coast WDA,9,5/25/15,23-Mar-15,Houston,,,,,,,,,,,,,
3/17/15,Justin Brands,Tarrant,Tarrant County WDA,68,5/15/15,17-Mar-15,Ft. Worth,,,,,,,,,,,,,
3/17/15,Trican Well Service,Ector,Permian Basin WDA,137,3/20/15,17-Mar-15,Odessa,,,,,,,,,,,,,
3/13/15,Hewlett Packard - Houston2,Harris,Gulf Coast WDA,77,1/23/15,13-Mar-15,Houston,,,,,,,,,,,,,
3/6/15,Softcard,Dallas,Dallas County WDA,121,5/8/15,06-Mar-15,Dallas,,,,,,,,,,,,,
3/6/15,Sprint-Irving3,Dallas,Dallas County WDA,68,3/5/15,06-Mar-15,Irving,,,,,,,,,,,,,
3/4/15,"Oilfield Trucking Solutions, a subsidiary of Seventy Seven Energy, Inc.",Frio,Alamo WDA,93,4/5/15,04-Mar-15,Pearsall,,,,,,,,,,,,,
3/3/15,"Ultra Premium Oilfield, LTD",Ector,Permian Basin WDA,78,5/1/15,03-Mar-15,Odessa,,,,,,,,,,,,,
3/2/15,Management & Training Corp. (MTC)-Willacy Proc Ctr,Willacy,Lower Rio Grande Valley WDA,337,2/27/15,02-Mar-15,Raymondville,,,,,,,,,,,,,
2/26/15,SER Jobs for Progress-Administrative Office,Bexar,Alamo WDA,,2/28/15,26-Feb-15,San Antonio,,,,,,,,,,,,,
2/25/15,Baker Hughes-Snyder,Scurry,West Central WDA,133,2/3/15,25-Feb-15,Snyder,,,,,,,,,,,,,
2/25/15,Boeing Company,Harris,Gulf Coast WDA,7,4/24/15,25-Feb-15,Houston,,,,,,,,,,,,,
2/24/15,Convergys Customer Management Group Inc.-Pharr,Hidalgo,Lower Rio Grande Valley WDA,281,4/30/15,24-Feb-15,Pharr,,,,,,,,,,,,,
2/24/15,Baker Hughes-Kilgore,Gregg,East Texas WDA,58,2/2/15,24-Feb-15,Kilgore,,,,,,,,,,,,,
2/23/15,"Advanced Stimulation Technologies, Inc.",Midland,Permian Basin WDA,69,2/11/15,23-Feb-15,Midland,,,,,,,,,,,,,
2/23/15,Maverick Tube Corporation d/b/a Tenaris Conroe,Montgomery,Gulf Coast WDA,236,4/24/15,23-Mar-15,Conroe,,,,,,,,,,,,,
2/20/15,Amega West,Smith,East Texas WDA,58,4/21/15,20-Feb-15,Tyler,,,,,,,,,,,,,
2/20/15,US Steel Tubular Products - Hughes Springs,Cass,North East Texas WDA,63,4/26/15,20-Feb-15,Hughes Springs,,,,,,,,,,,,,
2/18/15,Bank of America-Plano2,Collin,North Central Texas WDA,22,4/13/15,18-Feb-15,Plano,,,,,,,,,,,,,
2/18/15,Bank of America - Addison,Dallas,Dallas County WDA,71,4/13/15,18-Feb-15,Addison,,,,,,,,,,,,,
2/17/15,Bank of America - Plano,Collin,North Central Texas WDA,23,4/15/15,17-Feb-15,Plano,,,,,,,,,,,,,
2/17/15,Hamilton Scientific,Williamson,Rural Capital WDA,67,3/6/15,17-Feb-15,Round Rock,,,,,,,,,,,,,
2/17/15,"Acme Energy Services, Inc. dba Big Dog Drilling",Midland,Permian Basin WDA,31,4/17/15,17-Feb-15,Midland,,,,,,,,,,,,,
2/9/15,Baker Hughes-Alice,Jim Wells,Coastal Bend WDA,51,2/9/15,09-Feb-15,Alice,,,,,,,,,,,,,
2/6/15,JELD-WEN -Temple,Bell,Central Texas WDA,69,3/31/15,06-Feb-15,Temple,,,,,,,,,,,,,
2/5/15,"Aramark Sports and Entertainment Services of TX, LLC",Harris,Gulf Coast WDA,77,2/28/15,05-Feb-15,Houston,,,,,,,,,,,,,
2/5/15,Apex Tool Group,Dallas,Dallas County WDA,261,4/6/15,05-Feb-15,Garland,,,,,,,,,,,,,
2/5/15,Boeing Company,Harris,Gulf Coast WDA,2,4/3/15,05-Feb-15,Houston,,,,,,,,,,,,,
2/5/15,Baker Hughes-Mineral Wells,Palo Pinto,North Central Texas WDA,110,2/5/15,05-Feb-15,Mineral Wells,,,,,,,,,,,,,
2/4/15,Radio Shack Corporation,Tarrant,Tarrant County WDA,683,3/13/15,04-Feb-15,Ft. Worth,,,,,,,,,,,,,
2/4/15,Radio Shack Support Facilities & Distribution Center,Tarrant,Tarrant County WDA,344,3/13/15,04-Feb-15,Ft. Worth,,,,,,,,,,,,,
2/2/15,"Sentry Supply Inc.,dba Superior Supply Inc.",Dimmit,Middle Rio Grande WDA,4,2/28/15,02-Feb-15,Carrizo Springs,,,,,,,,,,,,,
1/30/15,Convergys Contact Center,Cherokee,East Texas WDA,78,4/2/15,30-Jan-15,Jacksonville,,,,,,,,,,,,,
1/30/15,Lariat Services - Odessa,Ector,Permian Basin WDA,26,3/29/15,30-Jan-15,Odessa,,,,,,,,,,,,,
1/30/15,"Sandridge Energy, Inc.",Ector,Permian Basin WDA,25,3/29/15,30-Jan-15,Odessa,,,,,,,,,,,,,
1/29/15,Office Max - Garland,Dallas,Dallas County WDA,58,3/30/15,29-Jan-15,Garland,,,,,,,,,,,,,
1/29/15,"Lufkin Industries, Inc. (GE Oil & Gas)",Angelina,Deep East Texas WDA,330,3/26/15,29-Jan-15,Lufkin,,,,,,,,,,,,,
1/29/15,"Trican Well Service, L.P.",Gregg,East Texas WDA,125,3/29/15,29-Jan-15,Longview,,,,,,,,,,,,,
1/27/15,US Steel Tubular Products- Lone Star,Morris,North East Texas WDA,318,2/1/15,27-Jan-15,Lone Star,,,,,,,,,,,,,
1/20/15,Laredo Petroleum,Dallas,Dallas County WDA,36,1/20/15,1/20/15,Farmers Branch,,,,,,,,,,,,,
1/20/15,Boeing Company,Harris,Gulf Coast WDA,3,3/20/15,20-Jan-15,Houston,,,,,,,,,,,,,
1/15/15,Engineered Polymer Solutions-Garland2,Dallas,Dallas County WDA,23,5/22/15,1/15/15,Garland,,,,,,,,,,,,,
1/15/15,PCI Manufacturing LLC,Hopkins,North East Texas WDA,0,1/15/15,1/15/15,Sulphur Springs,,,,,,,,,,,,,
1/15/15,Engineered Polymer Solutions-Garland,Dallas,Dallas County WDA,31,3/17/15,1/15/15,Garland,,,,,,,,,,,,,
1/14/15,Sendero Drilling,Tom Green,Concho Valley WDA,30,9/1/15,1/14/15,San Angelo,,,,,,,,,,,,,
1/6/15,US Steel Tubular Products - Houston2,Harris,Gulf Coast WDA,142,3/8/15,1/6/15,Houston,,,,,,,,,,,,,
1/5/15,HighMount Exploration & Production LLC,Harris,Gulf Coast WDA,11,12/1/14,1/5/15,Houston,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,